Component,Monthly Percent Change,Relative Importance,Cumulative Relative Importance
Cereals,0.38,0.37,75.65
Used light trucks,0.4,0.83,76.49
Nonprofit nursing homes' services to households,0.41,0.36,76.84
Proprietary and government nursing homes,0.41,0.94,77.79
Alcohol in purchased meals,0.41,0.81,78.6
Fish and seafood,0.44,0.11,78.71
Fresh milk,0.46,0.15,78.85
Sugar and sweets,0.46,0.36,79.22
Elementary and secondary school lunches,0.47,0.04,79.26
Shoes and other footwear,0.47,0.58,79.84
Other recreational vehicles,0.49,0.17,80.01
Pleasure aircraft,0.49,0.01,80.03
Pleasure boats,0.49,0.18,80.2
Bicycles and accessories,0.49,0.04,80.24
Computer software and accessories,0.49,1.11,81.35
Tobacco (127),0.5,0.51,81.86
Elementary and secondary schools,0.52,0.21,82.07
Luggage and similar personal items (part of 119),0.52,0.25,82.32
Used autos,0.53,0.21,82.53
Dental services (45),0.54,0.98,83.51
Community food and housing / emergency / other relief services,0.57,0.08,83.6
Spirits,0.58,0.26,83.86
Individual and family services,0.59,0.61,84.46
Cosmetic / perfumes / bath / nail preparations and implements,0.61,0.36,84.83
Motor vehicle maintenance and repair (60),0.63,1.31,86.13
Outdoor equipment and supplies,0.67,0.05,86.18
Natural gas (28),0.68,0.38,86.56
Pets and related products,0.69,0.55,87.11
Men's and boys' clothing (11),0.7,0.75,87.86
Nonprofit private higher education services to households,0.71,0.4,88.26
Proprietary and public higher education,0.71,0.55,88.8
Cellular telephone services,0.74,0.76,89.57
Other household services,0.77,0.22,89.78
Educational books (96),0.78,0.04,89.83
"Audio discs, tapes, vinyl, and permanent digital downloads",0.79,0.01,89.84
"Games, toys, and hobbies",0.8,0.69,90.53
Commercial banks,0.83,1.31,91.84
Social advocacy and civic and social organizations,0.84,0.12,91.96
"Repair and rental of audio-visual, photographic, and information processing equipment",0.86,0.05,92
Garbage and trash collection,0.9,0.2,92.21
Household paper products,0.91,0.29,92.5
"Mineral waters, soft drinks, and vegetable juices",0.92,0.55,93.05
Labor organization dues,0.93,0.09,93.14
Other professional medical services,0.98,1.89,95.03
Intracity mass transit,1.16,0.1,95.13
Taxicabs and ride sharing services,1.17,0.19,95.32
Household linens,1.58,0.34,95.66
Tax preparation and other related services,1.64,0.24,95.89
Jewelry,1.68,0.42,96.31
Televisions,1.69,0.17,96.48
Other video equipment,2.05,0.05,96.53
Small electric household appliances,2.19,0.06,96.59
Fruit (fresh),2.24,0.29,96.88
Exchange-listed equities,2.31,0.04,96.92
Accessories and parts,2.43,0.36,97.28
Personal computers/tablets and peripheral equipment,3.49,0.5,97.78
Watches,3.59,0.09,97.87
Recreational books (part of 90),4.88,0.16,98.03
Repair of household appliances,5.05,0.06,98.08
"Repair of furniture, furnishings, and floor coverings",5.05,0.01,98.09
Lubricants and fluids,5.48,0.06,98.15
Portfolio management and investment advice services,5.62,1.78,99.94
"Video discs, tapes, and permanent digital downloads",7.24,0.06,100
